Date,sma_5,std_5,momentum_5,sma_10,std_10,momentum_10,sma_20,std_20,momentum_20,sma_50,std_50,momentum_50,sma_100,std_100,momentum_100
2021-01-28,32224.853125,1106.3757552946252,1398.455078125,32864.0923828125,1802.0809625849704,-3163.9765625,34933.50380859375,2772.2268749902464,-7331.51171875,29733.456640625,6649.52749770879,14912.181640625,23023.873603515625,8364.34966348817,21549.7626953125
2021-01-29,32630.2546875,1453.0026075825422,2027.0078125,32688.7505859375,1518.5000699468906,-1753.41796875,34636.59580078125,2474.3297015545872,-5938.16015625,30054.48453125,6469.582213834963,16051.39453125,23238.800576171874,8375.728473920075,21492.697265625
2021-01-30,33010.880859375,1607.642973342365,1903.130859375,32560.9279296875,1287.2952266920715,-1278.2265625,34432.24990234375,2314.5556335493334,-4086.91796875,30378.6969140625,6258.930161272007,16210.619140625,23451.83689453125,8382.723732377734,21303.6318359375
2021-01-31,33119.7828125,1588.6287154095755,544.509765625,32789.7939453125,1139.4751306484077,2288.66015625,34309.63505859375,2316.252162408818,-2452.296875,30664.9109765625,6042.270301912283,14310.703125,23653.66509765625,8369.82909689801,20182.8203125
2021-02-01,33740.70859375,529.197637740695,3104.62890625,32842.9353515625,1162.8188737928244,531.4140625,34290.34580078125,2321.2427758842173,-385.78515625,30952.8068359375,5820.9325611503455,14394.79296875,23857.95623046875,8359.142115984412,20429.11328125
2021-02-02,34149.546875,913.8463665287094,2044.19140625,33187.2,1394.3475197425125,3442.646484375,34200.04228515625,2230.6902563895096,-1806.0703125,31278.0797265625,5603.799410575821,16263.64453125,24082.7473828125,8367.297435857561,22479.115234375
2021-02-03,34780.6875,1757.855549353493,3155.703125,33705.47109375,1896.3706284148238,5182.7109375,34114.28037109375,2054.9013862674115,-1715.23828125,31639.18,5401.980947117882,18055.013671875,24326.71580078125,8398.720659334525,24396.841796875
2021-02-04,35311.99609375,1955.1305821606527,2656.54296875,34161.4384765625,2078.0876464466996,4559.673828125,34119.31533203125,2062.004854800119,100.69921875,31951.489375,5241.6760188709395,15615.46875,24559.43427734375,8422.395599664149,23271.84765625
2021-02-05,36317.9859375,1831.8332002816637,5029.94921875,34718.884375,2335.4436730097477,5574.458984375,34217.62373046875,2207.0930482497192,1966.16796875,32258.2723046875,5143.399030940196,15339.146484375,24808.16451171875,8452.886568558193,24873.0234375
2021-02-06,37463.753125,1397.8993290532278,5728.8359375,35602.230859375,2200.7408386472193,8833.46484375,34391.36044921875,2459.782632521156,3474.734375,32580.8333203125,5064.8834581818755,16128.05078125,25066.44580078125,8496.435949329336,25828.12890625
2021-02-07,38142.38359375,970.8854302620115,3393.15234375,36145.965234375,2284.435195397712,5437.34375,34505.02880859375,2616.23178886469,2273.3671875,32881.5055078125,4982.77199127924,15033.609375,25320.014990234376,8527.482037749814,25356.9189453125
2021-02-08,39887.25859375,3638.9030392746013,8724.375,37333.973046875,3808.1689488277943,11880.078125,35011.36181640625,3693.25414495409,10126.66015625,33335.88890625,5141.068281884608,22719.169921875,25644.1696875,8698.802072751847,32415.4697265625
2021-02-09,41798.26640625,4165.839184948928,9555.0390625,38555.13125,4593.30748964269,12211.58203125,35558.02958984375,4498.261602709893,10933.35546875,33809.449375,5240.622904247865,23678.0234375,25971.6096484375,8860.834666236127,32743.99609375
2021-02-10,43153.04140625,3762.38832118732,6773.875,39735.513671875,4556.310314820591,11803.82421875,36262.65380859375,4810.845302267052,14092.484375,34232.1524609375,5267.697623189744,21135.154296875,26285.286591796874,8971.207489013403,31367.6943359375
2021-02-11,44881.70546875,3506.9276807017454,8643.3203125,41172.729296875,4649.679793069637,14372.15625,37007.83232421875,5398.208109416257,14903.5703125,34725.5121875,5371.4674980350355,24667.986328125,26624.876904296874,9140.701034864678,33959.03125
2021-02-12,46601.9875,1176.7083244858572,8601.41015625,42372.185546875,4573.125476630166,11994.5625,37779.6927734375,5747.030959588267,15437.208984375,35200.890234375,5430.49270002208,23768.90234375,26958.588349609374,9288.03771206068,33371.14453125
2021-02-13,46783.79765625,1168.5875242159832,909.05078125,43335.528125,4438.899715087665,9633.42578125,38520.499609375,5953.285082929177,14816.13671875,35649.7047265625,5469.136584113146,22440.724609375,27273.84501953125,9431.829355336058,31525.6669921875
2021-02-14,47231.034375,1423.819708714089,2236.18359375,44514.650390625,4100.316169608831,11791.22265625,39338.04443359375,6181.995731668815,16350.896484375,36095.309765625,5609.0699454939395,22280.251953125,27605.3591015625,9597.314335412992,33151.408203125
2021-02-15,47836.409375,599.4179775412352,3026.875,45494.725390625,3541.724469984849,9800.75,40106.8048828125,6251.638658067962,15375.208984375,36528.7650390625,5671.540786914864,21672.763671875,27936.4721484375,9722.597698149493,33111.3046875
